ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
482,F,24,3,3.555555556,4,3.2,2.75,,,,,
483,F,61,3,1.777777778,3,3,3.625,,,,,
484,F,44,3,1.888888889,3.25,4.6,4,,,,,
485,F,44,3,2,1,2.8,3.875,,,,,
486,F,25,3,4,4,3.4,2.25,,,,,
487,F,39,5,1.888888889,2.5,3.2,3.75,,,,,
488,F,32,2,2.888888889,3.25,3.6,3.25,,,,,
489,F,59,2,1.555555556,3,3.2,4,,,,,
490,M,46,4,1.111111111,1.5,4.6,3.5,,,,,
491,F,47,2,1.222222222,3.5,3.6,3,,,,,
492,F,25,2,2.666666667,1.75,3,3.875,,,,,
493,F,38,4,1.333333333,1.25,2.4,3.875,,,,,
494,F,31,2,2.888888889,1,3,4,,,,,
495,F,38,2,1.111111111,1.5,4.6,4,,,,,
496,F,22,2,2.333333333,1,2.8,3,,,,,
497,F,50,4,1,2.5,4.6,4,,,,,
498,F,39,2,2.555555556,3,4.4,3.75,,,,,
499,M,51,2,2.777777778,1,4.8,2,,,,,
500,F,38,4,3.888888889,3.75,2.2,4,,,,,
501,F,35,4,3.333333333,3.25,2,2,,,,,
502,F,47,2,1.888888889,3.5,3.8,3.875,,,,,
503,F,36,4,1.666666667,2.75,4.4,3.75,,,,,
504,F,63,2,1.444444444,1,4,4,,,,,
505,F,39,3,2.666666667,2,3.8,3.75,,,,,
506,F,29,2,1.333333333,2.5,3.6,3.375,,,,,
507,M,54,2,1,1.25,3.6,2.875,,,,,
508,M,25,4,1,1.5,4.4,3.125,,,,,
509,F,43,4,1.777777778,3,3.6,3.375,,,,,
510,M,41,2,1.888888889,1.75,2.6,3.375,,,,,
511,M,29,2,1.111111111,1.75,4,3.875,,,,,
512,F,32,4,1.111111111,1,4.4,4,,,,,
513,F,21,2,1.888888889,2,4.8,3,,,,,
514,F,59,4,1.666666667,1.5,3.6,3.875,,,,,
515,F,18,2,3.444444444,2.5,4,3.5,,,,,
516,F,29,4,1.333333333,1.5,3.2,3.625,,,,,
517,F,22,2,1.222222222,1,4.2,3.875,,,,,
518,M,25,4,1.333333333,1,4.8,3.625,,,,,
519,F,46,2,2,1.5,3.4,3.5,,,,,
520,F,23,3,1.333333333,2.25,4,4,,,,,
521,F,52,3,3.777777778,3,4,3.625,,,,,
522,M,19,2,2.222222222,2.5,3.4,3.125,,,,,
523,F,44,2,1,1,5,4,,,,,
524,F,32,2,4.666666667,3.5,3,4,,,,,
525,F,44,4,1.333333333,1,3.2,3.75,,,,,
526,F,32,4,2.111111111,4,3.6,3.5,,,,,
527,F,32,4,2,3,4.4,3.625,,,,,
528,F,25,2,1.555555556,1,4.6,4,,,,,
529,F,54,2,1,1,3,4,,,,,
530,F,22,2,3,2.5,3.6,3.75,,,,,
531,F,53,4,1.222222222,1.75,3.4,4,,,,,
532,F,21,2,3.888888889,1,1.4,3.75,,,,,
533,M,34,2,1.555555556,1.5,4.2,3.625,,,,,
534,M,29,3,2.888888889,1.25,1,1.25,,,,,
535,F,44,2,2.111111111,2.75,4,3.5,,,,,
536,F,42,4,2.888888889,3.25,3.6,3.75,,,,,
537,F,21,2,1.444444444,2,4.4,3.5,,,,,
538,F,23,2,2.111111111,1.5,3.2,3.75,,,,,
539,M,45,4,1.111111111,1.5,2.4,3.625,,,,,
540,F,21,2,1.888888889,1.25,4.6,3.5,,,,,
541,F,44,3,1.555555556,1,3.4,3.75,,,,,
542,F,43,2,1.111111111,1,5,3.875,,,,,
543,F,33,3,1.555555556,1,4.2,4,,,,,
544,F,37,3,3.666666667,3,1.8,4,,,,,
545,F,49,4,1.111111111,1.25,3.4,3.5,,,,,
546,M,44,2,3.444444444,1,4.2,2.625,,,,,
547,F,48,4,1,1,5,3,,,,,
548,F,23,3,2.222222222,1,3.4,3.5,,,,,
549,F,33,2,3.444444444,3,3.8,3.875,,,,,
550,F,54,4,4.555555556,2,3,3.625,,,,,
551,F,23,3,2,3,3.4,3.625,,,,,
552,M,26,3,2.333333333,3.75,2.6,2.5,,,,,
553,F,45,4,1.888888889,2.5,4.4,3.75,,,,,
554,M,24,3,3,4.25,3.2,3.25,,,,,
555,M,37,3,1.777777778,3.75,1.4,1.875,,,,,
556,F,22,2,1.777777778,1,2.4,3.625,,,,,
557,F,22,3,1,2.5,4.6,3.625,,,,,
558,F,35,5,1.444444444,1,3.6,3.5,,,,,
559,F,36,4,2.111111111,3,2.6,3.75,,,,,
560,F,31,4,1.777777778,1,4.6,3.875,,,,,
561,F,49,4,2.444444444,3,4.8,3.5,,,,,
562,M,46,2,4,3,1.2,1.25,,,,,
563,F,21,2,1.222222222,1.25,4.6,3.875,,,,,
564,M,27,4,2.444444444,2,1.8,2.875,,,,,
565,F,25,4,1.777777778,1,5,4,,,,,
566,F,24,3,1.222222222,1,3.8,4,,,,,
567,NA,55,5,1.555555556,1.75,3.8,3.875,,,,,
568,F,19,2,3.888888889,3,3.4,3.5,,,,,
569,F,40,2,1.222222222,3.5,4.8,3.875,,,,,
570,M,62,3,1.555555556,1.75,3.4,3.75,,,,,
571,F,21,3,4.777777778,3,1,2.375,,,,,
572,F,24,3,1.555555556,1.5,3.4,3.75,,,,,
573,F,28,4,3,2.75,1.6,3.5,,,,,
574,M,55,3,3.111111111,3.5,5,3.375,,,,,
575,F,34,2,2,3,3.8,3.75,,,,,
576,F,46,3,4.111111111,2,2.2,4,,,,,
577,M,27,4,2.777777778,2.5,2.6,2.5,,,,,
578,F,54,3,3.666666667,3.5,2,2.75,,,,,
579,F,16,1,3.777777778,3.5,2.8,3.125,,,,,
580,F,21,2,4.888888889,3.25,1.2,1.375,,,,,
581,F,41,3,4,1.75,3.2,3.375,,,,,
582,M,29,4,3.444444444,3.5,3.4,2.75,,,,,
583,M,39,2,3.555555556,3.25,4,3,,,,,
584,F,22,3,1.111111111,1.75,3,3.125,,,,,
585,F,22,2,2,1.75,2.8,3.625,,,,,
586,F,30,4,2.333333333,2,3.6,3.25,,,,,
587,F,38,4,1.888888889,2,4.6,3.5,,,,,
588,F,46,3,2.111111111,1,3.6,4,,,,,
589,F,25,3,2.222222222,3.5,3.6,3.75,,,,,
590,F,60,2,2.333333333,2.5,2.6,1,,,,,
591,M,52,2,1.111111111,1.75,3,2.625,,,,,
592,F,43,2,2.444444444,4,3,3.75,,,,,
593,M,47,6,1.555555556,2.5,4.6,2.375,,,,,
594,F,45,4,1.555555556,3,4.8,2.75,,,,,
595,F,33,4,2.777777778,1,3.2,3.625,,,,,
596,M,37,3,1.888888889,2.5,4.8,4,,,,,
597,F,52,4,3.777777778,3.25,2.4,4,,,,,
598,F,36,3,2.444444444,3.75,3.4,3.875,,,,,
599,M,33,2,2.111111111,1.5,2.8,3.125,,,,,
600,F,27,4,1.888888889,1.75,3.4,3.625,,,,,
601,M,29,3,2.666666667,1.75,3.4,2.25,,,,,
602,M,22,3,1.444444444,2.5,3.8,3.75,,,,,
603,F,61,5,1.222222222,2,5,3.875,,,,,
604,F,19,2,2.111111111,2.75,3.8,3.75,,,,,
605,F,23,2,2,1.75,4.2,3.375,,,,,
606,F,65,2,1.333333333,1,5,4,,,,,
607,F,32,2,4.111111111,3.75,1.2,1.875,,,,,
608,M,53,2,3,1.75,2.8,3.25,,,,,
609,M,25,2,2.111111111,2.75,3.2,3.125,,,,,
610,F,59,4,2.222222222,4.25,4.2,4,,,,,
611,M,25,4,1.222222222,1,3.4,2.375,,,,,
612,F,18,2,2.333333333,1.5,4.2,3.75,,,,,
613,F,29,3,3.333333333,2.25,2.6,3.25,,,,,
614,F,24,3,1.222222222,1,2.6,3.625,,,,,
615,M,45,4,1.888888889,3.5,5,3.125,,,,,
616,M,42,2,2.444444444,3.5,2.8,3.25,,,,,
617,F,37,2,1.666666667,1,2.8,3,,,,,
618,F,19,2,2.222222222,2.5,3.8,3.5,,,,,
619,F,27,4,1,3.5,4.6,4,,,,,
620,M,25,3,2.222222222,3,2.4,1.875,,,,,
621,F,17,2,2.222222222,2.5,4.2,3.625,,,,,
622,F,45,2,2.555555556,2.75,3.2,4,,,,,
623,F,20,2,1.777777778,1.75,3.6,3.875,,,,,
624,M,21,2,2.444444444,2.5,1.4,1.75,,,,,
625,M,37,6,1.555555556,1.75,3.8,3.75,,,,,
626,F,54,2,4.222222222,4,1,3.375,,,,,
627,F,20,2,2.333333333,1,3,2.625,,,,,
628,F,38,5,1,1,3.6,4,,,,,
629,M,27,4,1.333333333,1,4.2,3.75,,,,,
630,F,44,2,1.111111111,1,4.8,3.625,,,,,
631,F,37,4,2,1.5,3.6,3.25,,,,,
632,M,29,2,3.555555556,3.25,2.6,2,,,,,
633,F,31,4,2.111111111,3,2.6,2.875,,,,,
634,F,31,4,2.111111111,3,2.6,2.875,,,,,
635,F,35,2,2.888888889,1.5,3.2,3.375,,,,,
636,F,23,3,2.777777778,1,1.6,3.625,,,,,
637,F,23,3,2.444444444,1,4,3.75,,,,,
638,F,25,3,1.444444444,2.5,3.4,3.375,,,,,
639,F,18,2,3.777777778,1.5,1.6,3.75,,,,,
640,F,28,2,4.888888889,4.25,3,3.25,,,,,
641,F,23,3,2.888888889,1.5,1,2.625,,,,,
642,F,21,2,1.222222222,1,4.6,4,,,,,
643,F,60,4,3.666666667,1,2.4,2.75,,,,,
644,F,52,3,1.222222222,1,3.6,4,,,,,
645,M,41,4,2.888888889,2.5,2,3.25,,,,,
646,F,27,2,1.555555556,3.25,3.8,4,,,,,
647,F,37,4,4.222222222,3.25,3.2,4,,,,,
648,M,43,2,4.222222222,3.25,1.2,1.375,,,,,
649,F,26,2,1,1,4.6,4,,,,,
650,F,40,3,1,1.75,4.6,4,,,,,
651,F,29,6,1.444444444,1.5,2.8,3.375,,,,,
652,F,30,5,2.222222222,3.75,4,3.5,,,,,
653,M,56,4,1,2.75,4.6,3.875,,,,,
654,F,22,2,1.333333333,3,4,3.5,,,,,
655,F,44,2,1.888888889,3.25,4.6,3.5,,,,,
656,M,20,2,4.333333333,2,1.2,1.625,,,,,
657,F,47,4,1.222222222,1.75,4,3.75,,,,,
658,M,52,4,4.444444444,3.5,1,1.375,,,,,
659,F,24,3,2.222222222,1,2.6,3.75,,,,,
660,F,37,4,2.333333333,2.25,4,4,,,,,
661,F,30,2,3.111111111,2.75,1.8,3.5,,,,,
662,F,49,3,1.777777778,2,2.6,3.75,,,,,
663,F,57,4,1.555555556,2,3.6,4,,,,,
664,F,48,2,1.555555556,2,4.6,4,,,,,
665,F,29,4,2.777777778,2.5,3.4,3.625,,,,,
666,F,26,4,3.444444444,1.5,1,3.625,,,,,
667,F,37,4,1.555555556,2.75,3.4,4,,,,,
668,M,40,5,1,1,3.4,3.375,,,,,
669,F,19,2,3.222222222,3.25,2.4,2.25,,,,,
670,F,50,4,1,3,2.6,3.375,,,,,
671,F,43,2,1.444444444,2,4.2,4,,,,,
672,M,35,2,1.111111111,1.5,2.8,3.875,,,,,
673,F,22,3,2.888888889,3.25,3.2,3.875,,,,,
674,F,32,4,1,1,3.6,3.625,,,,,
675,F,34,4,1.444444444,1.75,4,3.625,,,,,
676,F,27,4,3.555555556,2.75,2,3.75,,,,,
677,M,35,4,1,1,1.2,2.375,,,,,
678,F,25,4,3,1.25,3.6,2.375,,,,,
679,F,50,2,3.333333333,3,2.6,1.875,,,,,
680,F,49,6,1.111111111,1,3.8,3.875,,,,,
681,M,44,3,1,1,3.6,3.125,,,,,
682,M,33,5,1.111111111,1,3.8,3.5,,,,,
683,M,37,4,1,1.5,3,3.875,,,,,
684,F,37,4,1.888888889,2.25,2.8,3,,,,,
685,M,21,2,2.555555556,3.25,3,2.875,,,,,
686,F,57,2,4.333333333,1.75,1.4,3.375,,,,,
687,F,30,4,1.555555556,3,3.4,3.625,,,,,
688,F,31,4,1.444444444,1.75,2.8,3.625,,,,,
689,M,57,2,1.111111111,1,3.6,3.75,,,,,
690,M,33,4,2.222222222,3,2.4,2.125,,,,,
691,F,25,4,1.444444444,3.75,5,3.875,,,,,
692,F,27,4,3.111111111,3,1.2,2,,,,,
693,M,48,4,3.333333333,3.75,3.8,3.375,,,,,
694,F,31,4,1.444444444,2.5,2.8,3.625,,,,,
695,F,47,3,1.111111111,1,5,3.75,,,,,
696,F,42,3,1.111111111,1,3.8,3.75,,,,,
697,F,46,3,1.555555556,2,4.4,3.875,,,,,
698,F,43,2,3.888888889,3,2.6,2.625,,,,,
699,F,38,4,1,1,4.2,4,,,,,
700,M,41,3,2.555555556,3.25,2.8,1.5,,,,,
701,F,20,2,1.333333333,1,3.6,3.125,,,,,
702,F,33,2,1.222222222,1,2.4,3.875,,,,,
703,F,23,3,2.666666667,2.25,3.4,2.25,,,,,
704,F,24,3,2.888888889,3.25,2,3.75,,,,,
705,F,21,2,2.555555556,3,2.8,3.75,,,,,
706,NA,27,3,1.111111111,1,1.6,4,,,,,
707,M,60,4,1.222222222,1,4.4,2.75,,,,,
708,F,21,3,1.777777778,2.5,3.6,3.25,,,,,
709,F,38,2,1.777777778,2.5,4,4,,,,,
710,M,38,4,1.111111111,1,2.8,4,,,,,
711,F,42,4,1.111111111,1,3.6,3.875,,,,,
712,F,28,4,2,2,4.4,3.375,,,,,
713,F,18,2,1.888888889,2,4.6,3.25,,,,,
714,F,53,2,3.777777778,1.75,1,1.75,,,,,
715,F,19,1,3.777777778,3.5,2.4,3,,,,,
716,M,39,3,2.888888889,3.5,2.6,3.375,,,,,
717,F,23,3,3.555555556,3,3.2,1.5,,,,,
718,F,44,4,2.333333333,1,3.2,3.75,,,,,
719,F,25,2,1.333333333,1.5,3,3.375,,,,,
720,F,28,4,2.222222222,2,5,3.125,,,,,
721,M,26,4,3.333333333,3.5,1.8,3,,,,,
722,F,34,4,1.888888889,3.75,2.8,3.625,,,,,
723,F,49,4,2.666666667,3,3.6,3.125,,,,,
724,F,23,3,2.666666667,3.5,4.4,2.5,,,,,
725,F,28,4,3.111111111,3,4,1.875,,,,,
726,F,47,4,1.222222222,2,3.4,4,,,,,
727,F,28,4,1.666666667,1.5,3.4,3,,,,,
728,M,24,2,1.777777778,1.5,3.8,3,,,,,
729,F,54,2,1.888888889,3.75,3.4,3.875,,,,,
730,M,48,5,1.444444444,2,3.6,3.75,,,,,
731,M,42,3,1.333333333,1,3,2.875,,,,,
732,F,30,4,2.222222222,3.25,2.6,4,,,,,
733,F,46,2,3.666666667,3,3.6,3.5,,,,,
734,F,24,3,1.777777778,3,3.6,3.75,,,,,
735,F,24,4,1.111111111,1,4.6,3.625,,,,,
736,F,65,2,1.666666667,3.25,4.8,3.75,,,,,
737,F,33,4,1.222222222,1,4.2,3.75,,,,,
738,F,35,3,2.444444444,1.5,3.6,3.875,,,,,
739,F,32,4,1.222222222,2.25,3.2,3.5,,,,,
740,F,24,2,3.666666667,2.75,3,4,,,,,
741,F,42,2,1.333333333,1,3.4,3.875,,,,,
742,F,25,3,1.777777778,1,4.2,3.875,,,,,
743,F,52,4,1.888888889,4.25,3.8,3.75,,,,,
744,M,24,3,3.444444444,3,1.8,2.75,,,,,
745,F,42,4,1.777777778,1,4,3.5,,,,,
746,F,35,3,1.555555556,1,4.6,3.5,,,,,
747,F,36,4,1,3,3.8,4,,,,,
748,F,28,3,1.777777778,3.5,4.4,3.625,,,,,
749,M,34,4,1.888888889,1,4.6,3,,,,,
750,M,27,3,1.222222222,3,5,3.125,,,,,
751,F,48,4,1,1,3.6,3.75,,,,,
752,F,28,2,3.555555556,2,1.2,2.375,,,,,
753,F,45,5,4.333333333,3.25,1.4,1.75,,,,,
754,M,23,2,4.333333333,1.75,2.6,2.875,,,,,
755,F,34,4,1.222222222,1,2.8,2.25,,,,,
756,F,38,2,2.111111111,4.5,4.2,3.375,,,,,
757,M,54,4,2.888888889,3.5,4.6,3.125,,,,,
758,F,53,4,1,1,4.6,3.75,,,,,
759,M,38,5,1.222222222,1,3.6,3.5,,,,,
760,F,20,3,2,3,4.6,3.5,,,,,
761,F,40,4,1.444444444,3,3.8,4,,,,,
762,F,21,2,3.222222222,1,2.4,2.625,,,,,
763,M,46,4,1,1,3.4,4,,,,,
764,M,36,2,1.222222222,2.25,3.6,4,,,,,
765,F,59,4,2.888888889,3.5,4.6,3.625,,,,,
766,F,60,6,1.222222222,1.75,3.8,4,,,,,
767,M,35,4,1,1,2.2,3.625,,,,,
768,F,25,4,1,1,4.4,3.875,,,,,
769,F,51,2,1.888888889,2.75,3.8,3.75,,,,,
770,F,41,4,1.222222222,3.25,4.2,3.25,,,,,
771,F,20,2,2.777777778,1.5,1.2,1.375,,,,,
772,NA,38,2,1.555555556,3,3,3.125,,,,,
773,F,31,4,2.222222222,2.25,2.2,2.75,,,,,
774,F,33,4,2.444444444,3,2,3.25,,,,,
775,F,26,4,2.222222222,2.75,4.2,3.5,,,,,
776,M,44,4,2.222222222,3.5,4.2,3.25,,,,,
777,F,31,2,1.222222222,2,3,3.375,,,,,
778,F,52,2,2.777777778,4,3.6,4,,,,,
779,F,34,4,1.888888889,3.25,3.8,3.25,,,,,
780,F,31,4,1.444444444,1.5,2.8,3,,,,,
781,M,40,2,2.111111111,1,3,2.5,,,,,
782,F,30,2,1.777777778,1.25,4.2,4,,,,,
783,F,39,2,1.222222222,2.5,4,3.625,,,,,
784,M,46,5,1.555555556,1,3.6,3.5,,,,,
785,F,56,3,2,3.5,2.4,3.5,,,,,
786,M,23,2,1.111111111,2,3.6,3.875,,,,,
787,M,33,2,3.555555556,4,1.8,3.125,,,,,
788,F,42,4,2,1.5,3,3.125,,,,,
789,M,40,6,5,5,1,1,,,,,
790,F,31,4,1.222222222,1,3.2,3.5,,,,,
791,M,30,3,1,1,4.4,4,,,,,
792,F,26,4,3.222222222,1.25,4.8,4,,,,,
793,M,29,4,3.222222222,3,2.2,2,,,,,
794,F,39,3,1,1,4.8,3.875,,,,,
795,F,25,2,2.111111111,3,5,3.875,,,,,
796,F,28,4,1.555555556,1.5,4.2,3.125,,,,,
797,M,24,3,1.333333333,1,2.2,2.75,,,,,
798,F,33,4,1.888888889,1,3.4,3.375,,,,,
799,M,38,4,3.444444444,3,1.2,3.375,,,,,
800,F,30,4,1.555555556,1.25,3.8,3.875,,,,,
801,M,69,4,1.666666667,1,3.6,3.375,,,,,
802,M,44,2,1.222222222,3.25,4,3.75,,,,,
803,F,22,3,2.222222222,1.75,3.6,3.875,,,,,
804,M,35,3,2.111111111,2,2.6,3.625,,,,,
805,F,34,4,1.888888889,1.5,3.4,3.125,,,,,
806,F,56,2,1,1,4.8,4,,,,,
807,F,36,2,1.111111111,1,2.6,4,,,,,
808,F,22,3,4.333333333,3.5,1.4,1.75,,,,,
809,M,44,3,1.444444444,1,3,3.625,,,,,
810,M,41,5,1,1,3.4,2.75,,,,,
811,F,37,5,3.222222222,3.75,2.8,2.5,,,,,
812,F,42,4,3.333333333,4.75,4,4,,,,,
813,F,44,2,2.444444444,1,3,3.75,,,,,
814,F,46,4,1.888888889,1.5,4.2,4,,,,,
815,M,51,3,1,1,2.6,4,,,,,
816,F,37,6,1.333333333,1.25,3.4,4,,,,,
817,F,28,5,3.222222222,3,2.6,3.75,,,,,
818,F,30,4,1.777777778,1.25,3.8,4,,,,,
819,M,51,2,2.888888889,3.25,3,1.75,,,,,
820,F,48,2,2.888888889,2.75,3.4,2,,,,,
821,F,23,2,3.444444444,3,1,1.75,,,,,
822,F,33,2,1.222222222,2.5,3.2,3.5,,,,,
823,M,48,4,1.333333333,1.25,3.8,3.375,,,,,
824,M,36,3,1.333333333,1.25,3.2,3.875,,,,,
825,F,58,2,1.111111111,1,4.2,3.875,,,,,
826,M,40,5,1.222222222,1,3.6,3.5,,,,,
827,F,41,5,1.111111111,2,4.2,3.875,,,,,
828,F,62,2,1.333333333,1,4.4,4,,,,,
829,F,40,5,2.222222222,3,3.8,3.125,,,,,
830,F,32,2,3.666666667,3,3,3,,,,,
831,F,30,4,1.444444444,2.5,3.8,3.75,,,,,
832,F,34,5,2.222222222,2.25,3.8,3.625,,,,,
833,F,54,4,1.777777778,1,2.8,3.75,,,,,
834,F,56,5,1.444444444,3.5,3.6,3.625,,,,,
835,F,29,3,1.222222222,1.75,4.8,3.75,,,,,
836,M,41,4,1.555555556,1,3.6,3.625,,,,,
837,F,56,3,2.666666667,3,3.6,3.5,,,,,
838,F,37,2,2.666666667,1,1.4,2.875,,,,,
839,M,35,4,1.333333333,1.75,3,3,,,,,
840,M,43,3,1.333333333,3.25,4.2,3.875,,,,,
841,F,35,4,3.777777778,3.75,3,3.75,,,,,
842,F,29,3,1.444444444,1,3.8,3.875,,,,,
843,M,25,3,4.555555556,3,3,3.125,,,,,
844,F,42,5,1.666666667,1,4.4,4,,,,,
845,M,35,4,1.555555556,1,4.8,4,,,,,
846,F,26,4,1,1,4.6,3.75,,,,,
847,F,33,4,1.555555556,1,3.2,3.75,,,,,
848,F,37,5,3.444444444,3,3,3.25,,,,,
849,F,22,2,2.111111111,1,2.4,2.75,,,,,
850,F,29,4,1.222222222,1.5,4.4,4,,,,,
851,F,33,6,1.111111111,1.25,3.4,3.75,,,,,
852,F,45,6,1.555555556,1,4.4,3.625,,,,,
853,M,51,5,1,1,1.8,3.125,,,,,
854,F,25,3,1.333333333,1.75,3.4,3.625,,,,,
855,M,49,4,2.777777778,1,3.2,1.5,,,,,
856,F,30,5,1.444444444,2,3.8,3.875,,,,,
857,F,37,4,1.111111111,3,3.6,3.375,,,,,
858,F,40,3,1.444444444,3,2.6,3.875,,,,,
859,F,33,2,4.555555556,4.5,2.6,3,,,,,
860,F,36,4,1.666666667,3,4,3.625,,,,,
861,F,58,3,2.444444444,3.25,4.2,3.625,,,,,
862,F,22,2,2.666666667,1,2.8,3.75,,,,,
863,M,39,3,1.333333333,1.5,3.8,3.5,,,,,
864,F,29,4,1.666666667,2,4.4,3.125,,,,,
865,F,44,2,2,1,4.8,3.75,,,,,
866,M,49,3,3.555555556,2.25,1.6,3.875,,,,,
867,M,35,5,1.777777778,1.5,2.2,2.125,,,,,
868,F,26,4,3,3,2.4,4,,,,,
869,F,39,2,1.222222222,1,1.8,3.875,,,,,
870,F,35,2,3,2.25,3.2,3.875,,,,,
871,F,18,2,3.333333333,1.5,1,3.75,,,,,
872,F,28,3,3.333333333,2,1.6,1.5,,,,,
873,F,23,3,2.777777778,1,2.6,2.875,,,,,
874,F,38,4,1.888888889,3,3.2,3.5,,,,,
875,F,40,5,3.444444444,3.25,1,2.125,,,,,
876,F,60,4,2.888888889,3,5,3.125,,,,,
877,F,47,2,2.111111111,4.5,5,3.5,,,,,
878,F,48,4,2,2.25,2.4,3.75,,,,,
879,F,41,4,1.444444444,2,4.4,4,,,,,
880,F,34,4,1.666666667,1,4.2,3.625,,,,,
881,F,42,3,1.666666667,3.25,2.8,4,,,,,
882,F,37,4,2.111111111,1,2.4,3.375,,,,,
883,M,41,5,1.222222222,1,3.6,4,,,,,
884,F,29,4,1.444444444,2,4.2,3.875,,,,,
885,F,35,4,1.555555556,3.5,3.8,3.875,,,,,
886,M,42,4,1.333333333,1.75,3.6,3.875,,,,,
887,F,37,2,1.333333333,2,3.6,4,,,,,
888,M,45,4,2.777777778,1.75,3.2,2.25,,,,,
889,F,28,1,4.111111111,1,3.6,4,,,,,
890,F,32,2,1.888888889,2.75,4.6,2.75,,,,,
891,F,23,2,1.222222222,1.75,3.2,3.125,,,,,
892,M,48,2,4.888888889,3.75,1.4,1.75,,,,,
893,M,48,5,1.111111111,1,3.6,3.75,,,,,
894,M,32,4,1.333333333,3,2.6,3,,,,,
895,F,55,4,1.444444444,1.75,5,4,,,,,
896,M,38,4,1.222222222,1.5,3.6,4,,,,,
897,F,45,2,1.666666667,1.25,3,3.25,,,,,
898,F,44,2,1.888888889,2.25,3.2,4,,,,,
899,F,33,4,1.444444444,1,3.4,2.875,,,,,
900,F,57,3,1.111111111,2.25,5,4,,,,,
901,F,36,4,4.666666667,4.25,1,2.5,,,,,
902,F,29,2,3.444444444,3.5,3.2,3.625,,,,,
903,F,24,2,2.777777778,2.5,3.8,3.625,,,,,
904,F,45,4,1.888888889,3.25,4,3.75,,,,,
905,NA,44,5,3.333333333,3.25,2.2,3.125,,,,,
906,F,33,4,1.555555556,3,4.8,3.625,,,,,
907,F,45,4,3.444444444,3.25,3.6,4,,,,,
908,F,41,5,1.777777778,1,5,3.75,,,,,
909,F,23,3,1.333333333,2.25,3,3.875,,,,,
910,F,45,3,1,1,2.8,3.875,,,,,
911,F,31,4,1.444444444,1,3.4,4,,,,,
912,F,20,2,2.111111111,2.5,4.4,3.5,,,,,
913,F,23,2,2.222222222,3,4,4,,,,,
914,M,33,4,1.222222222,1,3,3.375,,,,,
915,F,54,3,2.444444444,2.75,3.6,3.875,,,,,
916,F,30,4,3,2,3,3.625,,,,,
917,M,32,2,1,1.25,3,2.75,,,,,
918,F,36,4,2.888888889,2.5,2.2,3.125,,,,,
919,F,24,4,3.555555556,1,2.2,2.375,,,,,
920,F,42,2,1.777777778,3,4.2,3.75,,,,,
921,M,24,3,1.888888889,2,3.2,3.375,,,,,
922,F,40,5,1,2,3,3.75,,,,,
923,M,39,4,2,1,1.8,2,,,,,
924,M,32,4,1.222222222,1.5,2,3.5,,,,,
925,F,42,5,1.888888889,1.25,3.2,3.375,,,,,
926,F,27,4,1.555555556,1.25,4,2.625,,,,,
927,F,42,4,3.777777778,2.75,4.2,3.25,,,,,
928,F,25,3,2.555555556,1.5,3.2,3.875,,,,,
929,M,24,2,1.222222222,1,3.6,3.5,,,,,
930,F,32,4,1.333333333,1.75,4.2,3.875,,,,,
931,F,43,2,1.111111111,1,3.6,4,,,,,
932,F,27,2,3,2.25,4.2,3,,,,,
933,F,22,3,1.111111111,1,1.8,3.5,,,,,
934,F,27,4,1,1,4.2,3.875,,,,,
935,M,34,2,3.333333333,3.5,3.6,2.625,,,,,
936,F,36,4,3.111111111,1.5,1.8,1,,,,,
937,F,32,4,2.777777778,3,3.4,3.25,,,,,
938,F,30,5,1,1,3.2,4,,,,,
939,F,44,2,2.444444444,1.5,1.6,3.625,,,,,
940,F,44,2,2.222222222,1.25,4.6,3.375,,,,,
941,F,36,4,4,4,2.6,4,,,,,
942,F,40,5,1.222222222,1.5,5,4,,,,,
943,F,47,3,1.111111111,1.5,3.2,4,,,,,
944,NA,32,2,4.111111111,4.5,2,2.625,,,,,
945,F,27,4,2,3,4,4,,,,,
946,F,50,2,3.222222222,3.75,3.4,2.75,,,,,
947,F,36,2,3,3.75,3.6,3.75,,,,,
948,M,40,2,1.333333333,1,1.6,4,,,,,
949,M,35,5,1.222222222,1,3.6,3.875,,,,,
950,F,47,5,4.888888889,3.5,2.6,4,,,,,
951,F,39,4,1.111111111,1.5,3.4,3.25,,,,,
952,F,32,2,1,1,4.6,3.75,,,,,
953,F,33,4,2.222222222,1.75,3.6,3.5,,,,,
954,F,31,2,2.777777778,2.5,1.6,4,,,,,
955,F,24,3,2.111111111,1,4.8,2.75,,,,,
956,F,38,2,2.555555556,3.5,4.2,4,,,,,
957,M,52,4,1,1,2.4,3.875,,,,,
958,F,37,5,2.444444444,1,4.2,4,,,,,
959,M,27,4,1.222222222,3,3.6,3.375,,,,,
960,F,36,2,3.555555556,3.75,3,2.375,,,,,
961,F,40,2,3.888888889,4.5,4.6,3.625,,,,,
962,F,48,3,1.111111111,3.25,3,3.75,,,,,
963,M,58,4,1.444444444,1,2,3.875,,,,,
964,F,33,3,3.666666667,3,3,3.375,,,,,
965,F,39,4,4.444444444,3,4.2,3.875,,,,,
966,F,39,4,2.444444444,1.5,3,2.75,,,,,
967,M,46,4,1.888888889,2,4.6,3.875,,,,,
968,F,22,2,1.555555556,3.5,3.6,3.375,,,,,
969,F,38,2,4,3.5,3.2,4,,,,,
970,F,22,2,4.111111111,3.5,1,2.75,,,,,
