ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
207,M,33,5,1.777777778,1,3.4,3.125,,,,,
208,M,37,5,1.222222222,1,3,3.5,,,,,
209,F,24,3,2,2.25,3.2,2.875,,,,,
210,F,40,4,1,1,4.4,4,,,,,
211,F,22,3,2.111111111,1,5,4,,,,,
212,F,30,4,2.111111111,2,4.2,4,,,,,
213,F,45,3,1.777777778,2.25,2.8,3.875,,,,,
214,F,40,4,2,2.5,3.8,3.625,,,,,
215,F,20,2,1.222222222,1.5,3.2,2.75,,,,,
216,F,51,4,1.333333333,1,4.2,3.5,,,,,
217,M,32,4,1,2.5,3.2,3.875,,,,,
218,M,38,6,1.333333333,1.5,2.6,2.125,,,,,
219,F,27,4,2.111111111,3.5,4,3.5,,,,,
220,F,44,4,1.444444444,1,3.4,4,,,,,
221,M,54,4,1.888888889,2.5,5,3.875,,,,,
222,F,41,4,1.777777778,3.5,2.6,4,,,,,
223,M,62,4,1.111111111,1.25,3,3,,,,,
224,F,39,5,1,1,4.2,3.875,,,,,
225,F,34,2,1.888888889,3.75,4.4,3.625,,,,,
226,M,49,5,1.111111111,2.5,1.2,3.625,,,,,
227,F,26,4,2.555555556,1,2,2.625,,,,,
228,F,64,4,1,1.25,4.8,4,,,,,
229,M,22,2,3,2.75,1.4,1.25,,,,,
230,F,48,6,1,1,2.8,3.75,,,,,
231,F,47,6,1.666666667,2,4.8,3,,,,,
232,F,47,6,2.666666667,3,2.4,3.375,,,,,
233,M,41,4,1.111111111,1.25,4.4,3.875,,,,,
234,M,51,4,1,1.75,4,3.875,,,,,
235,F,39,2,1.222222222,2,3.6,3.75,,,,,
236,F,50,5,1,1,5,3.75,,,,,
237,F,40,4,3.222222222,5,4.8,4,,,,,
238,F,37,2,1.222222222,2.5,4.8,4,,,,,
239,F,39,4,1,1,3,4,,,,,
240,F,40,4,1.222222222,1,3,4,,,,,
241,F,35,4,2.666666667,2.75,4,3.5,,,,,
242,M,37,6,2,3,3.4,3.875,,,,,
243,M,37,3,1.666666667,1,2.2,3.25,,,,,
244,M,36,6,1.111111111,1,2.4,3.375,,,,,
